id,name,maker,variant,productType,strainType,thcPct,cbdPct,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals,reviewAction
4c-labs-gsp-28-1-flower,Gastro Pop,4C Labs,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-gmo-ac-26-1-flower,GMO Animal Cookies,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-hwf-31-1-flower,Hawaiian Fanta,4C Labs,,,,31,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-km-24-1-flower,Khalifa Mints,4C Labs,,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-value-kco-28-1-flower,Kush Cookies,4C Labs,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-lmt-25-1-flower,Lemonatti,4C Labs,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-mc1-27-1-flower,Miracle Alien Cookies,4C Labs,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-mbd-27-1-flower,Moby Dick,4C Labs,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-mdk-21-1-flower,Moby Dick,4C Labs,,,,21,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-mjr-27-1-flower,Ms. MJR Runtz,4C Labs,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-xks-smalls-22-1-flower,Oaxacan Kush,4C Labs,Smalls,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-pck-29-1-flower,Pucker-Up,4C Labs,,,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-skl-smalls-25-1-flower,Skullcap,4C Labs,Smalls,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-sco-26-1-flower,Sun County Kush,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-sco-28-1-flower,Sun County Kush,4C Labs,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-whz-29-1-flower,White Haze,4C Labs,,,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-zkf-26-1-flower,Zkittlez Fuel,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4clabs-craft-khalifa-mints-24-1-flower,Khalifa Mints,4C Labs Craft,,flower,hybrid,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-ab-23-1-flower,Apples & Bananas,ABcann Medicinals,,,,23,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-bb-31-1-flower,Bruce Banner,ABcann Medicinals,,,,31,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-cs-24-1-flower,Candy Store,ABcann Medicinals,,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-frc-22-1-flower,Frosted Cookies,ABcann Medicinals,,,,22,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-jfpt-28-1-flower,Jet Fuel Pie,ABcann Medicinals,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-pmk-24-1-flower,Permanent Marker,ABcann Medicinals,,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-pck-27-1-flower,Pink Cookies,ABcann Medicinals,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
sundaze-psc-23-1-flower,Pink Snowcone,ABcann Medicinals,,,,23,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-cck-smalls-25-1-flower,Cold Creek Kush,AgMedica,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
big-narstie-mf-28-1-flower,Mule Fuel,Ahara,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
all-nations-lg-25-1-flower,Lemon Gelato,All Nations,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
all-nations-md-xe-22-1-flower,MAC Daddy,All Nations,,,,22,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
all-nations-mdo-27-1-flower,MAC Doughnut,All Nations,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
all-nations-pne-27-1-flower,Pineapple Express,All Nations,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
antg-rocky-26-1-flower,El Jefe,ANTG,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
antg-solace-23-1-flower,Tangie Chem,ANTG,,,,23,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cannda-craft-di-28-1-flower,Dante's Inferno #8,Apigen,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
wellford-aqua-atg-28-1-flower,Atlantic Glue,Aqualitas,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-cos-31-1-flower,Cosmic Cream,Aurora,,,,31,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-flh-25-1-flower,Frozen Lemon Haze,Aurora,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-chem-dawg-26-1-flower,Chem Dawg,Aurora Pedanios,,flower,hybrid,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-durban-poison-22-1-flower,Durban Poison,Aurora Pedanios,,flower,sativa,22,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-electric-honeydew-29-1-flower,Electric Honeydew,Aurora Pedanios,,flower,sativa,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-farm-gas-27-1-flower,Farm Gas,Aurora Pedanios,,flower,indica,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sugarbud-gmo-cookies-30-1-flower,GMO Cookies,Aurora Pedanios,,flower,hybrid,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sugarbud-gmo-cookies-smalls-28-1-flower,GMO Cookies,Aurora Pedanios,smalls,flower,hybrid,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-la-confidential-24-1-flower,LA Confidential,Aurora Pedanios,,flower,indica,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sugarbud-mule-fuel-27-1-flower,Mule Fuel,Aurora Pedanios,,flower,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sourdough-29-1-flower,Sourdough,Aurora Pedanios,,flower,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sourdough-smalls-27-1-flower,Sourdough,Aurora Pedanios,smalls,flower,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
aurora-pedanios-sun-farms-pink-kush-22-1-flower,Pink Kush,Aurora Sun Farms,,flower,indica,22,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
avaay-khalifa-mints-28-1-flower,Khalifa Mints,Avaay,,flower,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-cg-27-1-flower,Cookies Gelato,Avant,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-hso-24-1-flower,High Society,Avant,,,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-rp-28-1-flower,Rainbow Pie,Avant,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-rdv-29-1-flower,Red Velvet,Avant,,,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
bc-green-ag-27-1-flower,Apples & Gas,BC Green,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
bc-green-uc-22-1-flower,Unicorn Cake,BC Green,,,,22,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
big-narstie-papaya-bantz-24-1-flower,Papaya Bantz,Big Narstie,,flower,,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
big-narstie-gk-28-1-flower,Gorilla Kush,Big Narstie Medical,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
good-supply-reserve-ccc-27-1-flower,Cherry Cheesecake,Broken Coast,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cali-x-glt41-26-1-flower,Gelato #41,Cali-X,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
tofino-ripper-cks-chm-28-1-flower,Cookies & Chem,Canadian Craft Cannabis Co.,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-organic-blc-25-1-flower,Black Garlic,Canary RX,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-organic-smo-25-1-flower,Sherb Master OG,Canary RX,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cannfx-mochi-28-1-flower,Mochi Gelato,CannFX,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cannfx-za-32-1-flower,Zangria,CannFX,,,,32,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
lumir-kkm-27-1-flower,KK Mints,Cannim,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
lumir-msb-28-1-flower,Mint Sherbet,Cannim,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
primacann-bnb-26-1-flower,Bonne Nuit Bonbon,Caprica,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
primacann-bnb-28-1-flower,Bonne Nuit Bonbon,Caprica,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
blod-nosda-26-1-flower,French Macaron,Caprica,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
primacann-llc-21-1-flower,Liberation Lemon Cake,Caprica,,,,21,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
carmel-bananaconda-30-1-flower,Bananaconda,Carmel,,flower,,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
carmel-masterpiece-27-1-flower,Masterpiece,Carmel,,flower,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
carmel-spiked-mai-tai-29-1-flower,Spiked Mai Tai,Carmel,,flower,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
carmel-thin-mint-jealousy-25-1-flower,Thin Mint Jealousy,Carmel,,flower,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cellen-satoline-15-1-flower,White Widow,Cellen,,,,15,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-cj-30-1-flower,Cap Junky,Cheers Cannabis,,,,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-chc-28-1-flower,Chem Cookies #44,Cheers Cannabis,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-plb-25-1-flower,Polar Blaze,Cheers Cannabis,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
mamedica-stg-27-1-flower,Strawberry Grail,Cheers Cannabis,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cookies-apples-bananas-28-1-flower,Apples & Bananas,Cookies,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cookies-cereal-milk-26-1-flower,Cereal Milk,Cookies,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cookies-gelatti-32-1-flower,Gelatti,Cookies,,flower,,32,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
cookies-vienna-31-1-flower,Vienna,Cookies,,flower,,31,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
craft-botanics-strawberry-froyo-28-1-flower,Strawberry Froyo,Craft Botanics,,,,28,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
craft-botanics-sbf-27-1-flower,Superboof,Craft Botanics,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
