id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
grow-pharma-amnesia-haze-26-1-flower,Amnesia Haze,Grow Pharma,,flower,flower,sativa,26,1,,,,,,,,,,,,,,,,,,,
dlabs-aft-24-1-flower,Animal Face,dLabs,,flower,,,24,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
ttp-1-afc-25-1-flower,Animal Face,The Plug,,flower,flower,hybrid,25,1,,,,,,,,,,,,,,,,,,,
phant-as-24-1-flower,Apes in Space,Phant,,flower,,,24,1,,,,,,,,,,,,,,,,,,,
phant-as-smalls-22-1-flower,Apes in Space,Phant,,flower,,,22,1,,,,,,,,,,,,,,,,,,,
medicus-af-26-1-flower,Apple Fritter,Medicus,,flower,,,27,1,alpha-pinene:minor|beta-pinene:minor|limonene:major,,,,,,,,,,,,,,,,,,
qwest-apple-mac-flower,Apple Mac,Decibel,,,flower,,,,,,,,Qwest Cannabis,https://qwestcannabis.com/products,official grower catalogue page,2026-04-02T00:00:00.000Z,,,discontinued,high,unknown,Qwest Cannabis,,Listed in the retired section of Qwest's official products page.,official-retired-listing|catalogue-page-live,,
cookies-apples-bananas-28-1-flower,Apples & Bananas,Cookies,,hybrid,flower,,,,,Now N Later x Jet Fuel Gelato,,,,The Cookies strain page describes this cut as a hybrid with cherry apple and banana notes a gassy finish and a floaty body-led experience.,Cookies Peoria Heights,https://peoriaheights.cookies.co/our-strains/apples-bananas/,public dispensary strain page,2026-04-02T00:00:00.000Z,,Upgraded from the public Cookies Peoria Heights strain page.,,,,,,,
lot420-ab-27-1-flower,Apples & Bananas,Lot420,,hybrid,flower,,27,1,myrcene:major|ocimene:major|caryophyllene:major,Platinum Cookies x Grandaddy Purple x Blue Power x Gelatti,Canada,,,Official Lot420 strain page describes this as a balanced Quebec-grown hybrid with sour apple gas and mint-leaning notes.,Lot420,https://www.lot420.com/strains/apples-and-bananas-strain,official grower page,2026-04-01T00:00:00.000Z,,Imported from the official Lot420 Apples and Bananas strain page.,unknown,low,2026-04-01T00:00:00.000Z,Lot420,https://www.lot420.com/strains/apples-and-bananas-strain,Official strain page confirms product facts but is not a direct availability listing.,official-strain-page
sundaze-ab-23-1-flower,Apples & Bananas,ABcann Medicinals,,flower,,,23,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
bc-green-ag-27-1-flower,Apples & Gas,BC Green,,flower,,,27,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
lot420-acc-11-16-flower,Apricot Cream & Cheese,Lot420,,flower,,,11,16,alpha-pinene:minor|beta-pinene:minor|humulene:major,,,,,,,,,,,,,,,,,,
aurora-medical-astromelon-flower,Astromelon,Aurora Medical,,hybrid,flower,,29,,caryophyllene:major|limonene:major|farnesene:major,Critical Sensi Star x Critical Diesel,Canada,,,Astromelon is described by Aurora as a rare craft hybrid with diesel tropical dough aromas and very high THC.,Aurora Medical,https://www.auroramedical.com/products/astromelon,official manufacturer product page,2026-04-02T00:00:00.000Z,Added from Aurora's official public product feed.,Upgraded from Aurora's official public product page.,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/astromelon,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
wellford-aqua-atg-28-1-flower,Atlantic Glue,Aqualitas,,flower,,,28,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
highgreens-as-27-1-flower,Atomic Slurricane,HighGreens,,flower,,,27,1,,,,,,,,,,,,,,,,,,,
peace-naturals-asg-30-1-flower,Atomic Sour Grapefruit,Northern Green Canada,,flower,,,30,1,myrcene:minor|limonene:major|caryophyllene:minor,,,,,,,,,,,,,,,,,,
wellford-aero-pam-24-1-flower,Baby Pam,Wellford,,flower,,,24,1,limonene:major|caryophyllene:major|linalool:major,,,,,,,,,,,,,,,,,,
ecs-t24-24-1-flower,Bafokeng Choice,MG Health,,flower,,,24,1,alpha-pinene:6.06%|beta-pinene:4.04%|limonene:35.35%,,,,,,,,,,,,,,,,,,
4c-labs-bdd-26-1-flower,Banana Daddy,4C Labs,,flower,,,26,1,,,,,,,,,,,,,,,,,,,
qwest-banana-og-flower,Banana OG,Decibel,,,flower,,,,,,,,Qwest Cannabis,https://qwestcannabis.com/products,official grower catalogue page,2026-04-02T00:00:00.000Z,,,discontinued,high,unknown,Qwest Cannabis,,Listed in the retired section of Qwest's official products page.,official-retired-listing|catalogue-page-live,,
sundaze-bsc-28-1-flower,Banana Shortcake,Sundaze,,flower,,,28,1,alpha-pinene:minor|beta-pinene:minor|limonene:major,,,,,,,,,,,,,,,,,,
carmel-bananaconda-30-1-flower,Bananaconda,Carmel,,Hybrid,flower,,30,1,,,,,,,,,,,,,,,,,,,
ips-bnj-26-1-flower,Banjo,PharmaCann International,,flower,,,26,1,,,,,,,,,,,,,,,,,,,
tastee-bitz-banjo-22-1-flower,Banjo,Tastee Bitz,,Hybrid,flower,,22,1,,,,,,,,,,,,,,,,,,,
wellford-luma-bjo-25-1-flower,Banjo,Wellford,,flower,,,25,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
4c-labs-bwd-30-1-flower,Beach Wedding,4C Labs,,flower,,,30,1,beta-pinene:minor|myrcene:major|limonene:major,,,,,,,,,,,,,,,,,,
craft-botanics-bcc-32-1-flower,Berry Cheesecake,Purplefarm,,flower,,,32,1,caryophyllene:major|linalool:major|eucalyptol:major,,,,,,,,,,,,,,,,,,
upstate-bp-21-1-flower,Berry Cream Puff,Upstate,,flower,,,21,1,limonene:major|caryophyllene:major|guaiol:major,,,,,,,,,,,,,,,,,,
four-brb-28-1-flower,Big Red Beard,Four,,flower,,,28,1,alpha-pinene:1.55%|beta-pinene:2.1%|limonene:9.77%,,,,,,,,,,,,,,,,,,
pure-sunfarms-big-white-flower,Big White,Pure Sunfarms,,indica,flower,,27,,Caryophyllene:major|Myrcene:major|Bisabolol:major,The White x Big Bud,Canada,,,"West Coast old school favourites come together to bring you Big White, a smooth riding indica with big snowy buds. A cross of The White x Big Bud, this powerful yet balanced cultivar produces naturally chunky, trichome-rich nugs and delivers a sweet nose of icing sugar and berries, with light floral and cakey notes from dominant terpenes caryophyllene, myrcene and bisabolol.",Pure Sunfarms,https://puresunfarms.com/strains/big-white/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
khiron-biscotti-mintz-22-1-flower,Biscotti Mintz,Khiron,,Hybrid,flower,,22,1,,,,,,,,,,,,,,,,,,,
ips-ba-32-1-flower,Black Amber,PharmaCann International,,flower,,,32,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
ips-pharma-black-amber-32-1-flower,Black Amber,IPS Pharma,,flower,flower,,32,1,,,,,,,,,,,,,,,,,,,
ecocann-access-black-cherry-pie-18-1-flower,Black Cherry Pie,EcoCann Access,,Hybrid,flower,,18,1,,,,,,,,,,,,,,,,,,,
curo-bcpt-22-1-flower,Black Cherry Punch,Northern Green Canada,,flower,,,22,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
safricanna-bcp-21-1-flower,Black Cherry Punch,SafriCanna,,flower,,,21,1,alpha-pinene:4.48%|beta-pinene:6.33%|myrcene:16.01%,,,,,,,,,,,,,,,,,,
safricanna-bcp-23-1-flower,Black Cherry Punch,SafriCanna,,flower,,,23,1,alpha-pinene:4.48%|beta-pinene:6.33%|myrcene:16.01%,,,,,,,,,,,,,,,,,,
mamedica-organic-blc-25-1-flower,Black Garlic,Canary RX,,flower,,,25,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
aurora-medical-black-jelly-flower,Black Jelly,Aurora Medical,,sativa,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/black-jelly2,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/black-jelly2,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
headstone-bms-30-1-flower,Black Mountain Side,Headstone Cannabis,,flower,,,30,1,,,,,,,,,,,,,,,,,,,
hst-2-headstone-black-mountain-side-30-1-flower,Black Mountain Side,Headstone,,flower,flower,,30,1,,,,,,,,,,,,,,,,,,,
wellford-luma-bpi-28-1-flower,Black Pineapple,Wellford,,flower,,,28,1,alpha-pinene:minor|beta-pinene:minor|myrcene:major,,,,,,,,,,,,,,,,,,
glass-pharms-bb-9-11-flower,Blackberry Balanced,Glass Pharms,,flower,,,9,11,myrcene:major|limonene:major|ocimene:major,,,,,,,,,,,,,,,,,,
glass-pharms-bs-19-1-flower,Blackberry Sour,Glass Pharms,,flower,,,19,1,myrcene:major|limonene:major|ocimene:major,,,,,,,,,,,,,,,,,,
wellford-aero-bbl-24-1-flower,Bling Blaow,Wellford,,flower,,,24,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
roxton-air-ba-26-1-flower,Blue Apples,Roxton Air,,flower,,,26,1,,,,,,,,,,,,,,,,,,,
grassroots-bdm-18-1-flower,Blue Dream,Grassroots,,flower,,,18,1,,,,,,,,,,,,,,,,,,,
grow-pharma-blue-dream-24-1-flower,Blue Dream,Grow Pharma,,flower,flower,sativa,24,1,,,,,,,,,,,,,,,,,,,
pure-sunfarms-blue-dream-16-flower,Blue Dream #16,Pure Sunfarms,,sativa,flower,,22,,Limonene:major|Beta-pinene:major|Ocimene:major,Blueberry x Haze,Canada,,,"Blue Dream #16 is a hand-picked pheno of Blue Dream selected for its complex fruit aromas, impressive bud structure and elevated potency. Our growers have been nurturing this West Coast-favourite sativa in our greenhouse for years, always on the hunt for new expressions of the strain—and this pheno delivers. Blue Dream #16 boasts frosty, long-stretching lime green buds and dreamy aromas of citrus, blueberry, spice and cake from dominant terpenes limonene, beta-pinene and ocimene.",Pure Sunfarms,https://puresunfarms.com/strains/blue-dream-16/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
vasco-blue-lobster-27-1-flower,Blue Lobster,Vasco,,flower,,,27,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
4c-labs-craft-select-bsh-19-1-flower,Blue Sherbet,4C Labs,,indica,flower,,19,1,,Blue Cookies x Sunset Sherbet,Canada,,,,Blue Sherbet is described as a blueberry-and-citrus leaning indica with colourful purple-green buds and dessert-gas notes.,Kindling Cannabis,https://shopkindling.ca/products/wink-craft-blue-sherbet,,2026-04-03T00:00:00.000Z,,,,,,,,
4c-labs-bls-25-1-flower,Blue Sunset,4C Labs,,flower,,,25,1,,,,,,,,,,,,,,,,,,,
peace-naturals-blue-thai-27-1-flower,Blue Thai,Peace Naturals,,Hybrid,flower,,27,1,,,,,,,,,,,,,,,,,,,
four20-pharma-blueberry-22-1-flower,Blueberry,Four20 Pharma,,flower,flower,,22,1,,,,,,,,,,,,,,,,,,,
vasco-bb-smalls-28-1-flower,Blueberry Banana,Vasco,,flower,,,28,1,,,,,,,,,,,,,,,,,,,
next-friday-bf-24-1-flower,Blueberry Fuego,Next Friday,,flower,,,24,1,,,,,,,,,,,,,,,,,,,
superseed-blueberry-purp-25-1-flower,Blueberry Purp,Superseed,,Indica Hybrid,flower,,25,1,,,,,,,,,,,,,,,,,,,
cake-caviar-organic-bbyy-24-1-flower,Blueberry Yum-Yum,Habitat,,flower,,,24,1,myrcene:16.7%|limonene:27.9%|caryophyllene:27.9%,,,,,,,,,,,,,,,,,,
safricanna-blu-22-1-flower,Blunicorn,SafriCanna,,flower,,,22,1,alpha-pinene:14.99%|beta-pinene:7.3%|limonene:11.22%,,,,,,,,,,,,,,,,,,
tastee-bitz-blunicorn-22-1-flower,Blunicorn,Tastee Bitz,,Hybrid,flower,,22,1,,,,,,,,,,,,,,,,,,,
curaleaf-bnb-31-1-flower,Bonne Nuit Bonbon,Curaleaf,,flower,,,31,1,alpha-pinene:major|myrcene:major|limonene:major,,,,,,,,,,,,,,,,,,
primacann-bnb-26-1-flower,Bonne Nuit Bonbon,Caprica,,flower,,,26,1,myrcene:minor|limonene:major|caryophyllene:minor,,,,,,,,,,,,,,,,,,
primacann-bnb-28-1-flower,Bonne Nuit Bonbon,Caprica,,flower,,,28,1,myrcene:minor|limonene:major|caryophyllene:minor,,,,,,,,,,,,,,,,,,
doe-medical-britz-27-1-flower,Britz,DOE Medical,,flower,,,27,1,limonene:22.36%|caryophyllene:18.53%|linalool:21.09%,,,,,,,,,,,,,,,,,,
sundaze-bb-31-1-flower,Bruce Banner,ABcann Medicinals,,flower,,,31,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
grow-pharma-bubba-kush-24-1-flower,Bubba Kush,Grow Pharma,,flower,flower,indica,24,1,,,,,,,,,,,,,,,,,,,
sundaze-cs-24-1-flower,Candy Store,ABcann Medicinals,,flower,,,24,1,,,,,,,,,,,,,,,,,,,
big-narstie-cl-20-1-flower,Candyland,Northern Leaf,,flower,,,20,1,,,,,,,,,,,,,,,,,,,
mamedica-cj-30-1-flower,Cap Junky,Cheers Cannabis,,flower,,,30,1,,,,,,,,,,,,,,,,,,,
upstate-cjk-30-1-flower,Cap Junky,Upstate,,flower,,,30,1,limonene:major|caryophyllene:major|linalool:major,,,,,,,,,,,,,,,,,,
cookies-cereal-milk-26-1-flower,Cereal Milk,Cookies,,flower,,,26,1,limonene:major|caryophyllene:major|humulene:major,,,,,,,,,,,,,,,,,,
mamedica-chc-28-1-flower,Chem Cookies #44,Cheers Cannabis,,flower,,,28,1,limonene:major|caryophyllene:major|linalool:major,,,,,,,,,,,,,,,,,,
aurora-pedanios-chem-dawg-26-1-flower,Chem Dawg,Aurora Pedanios,,flower,flower,hybrid,26,1,,,,,,,,,,,,,,,,,,,
dalgety-cmog-27-1-flower,Chem-Mog,Dalgety,,flower,,,27,1,,,,,,,,,,,,,,,,,,,
dalgety-mog-24-1-flower,Chem-Mog,Dalgety,,flower,,,24,1,,,,,,,,,,,,,,,,,,,
aurora-pedanios-chemango-kush-27-1-flower,Chemango Kush,Aurora Pedanios,,indica,flower,indica,27,1,limonene:major|caryophyllene:major|myrcene:major,,Canada,,,Official Aurora page positions this as a San Raf indica with fruity sour chem-forward aroma notes and dense dark-green flower.,Aurora Medical,https://www.auroramedical.com/products/chemango-kush,official manufacturer page,2026-04-01T00:00:00.000Z,,Imported from the official Aurora Medical Chemango Kush product page.,available,high,2026-04-01T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/chemango-kush,Listed as available on the official Aurora Medical product page.,official-listing|product-page-live
tilray-chemdawg-25-1-flower,Chemdawg,Tilray,,flower,flower,hybrid,25,1,,,,,,,,,,,,,,,,,,,
ecocann-chs-19-1-flower,Chemstar,EcoCann,,flower,,,19,1,myrcene:major|caryophyllene:major|alpha-farnesene:major,,,,,,,,,,,,,,,,,,
good-supply-reserve-ccc-27-1-flower,Cherry Cheesecake,Broken Coast,,indica-leaning hybrid,flower,,27,1,Caryophyllene:major|Limonene:major|Linalool:major,Kimbo Kush x Cherry Pie,Canada,,,,Broken Coast's Cherry Cheesecake is an indoor-grown craft flower with cherry,cheese,and sour notes from trichome-rich buds.,,https://peicannabiscorp.com/product/cherry-cheesecake/,public retailer product page,,,,,,,
sitka-cht-28-1-flower,Cherry Triumph,Sitka Legends,,flower,,,28,1,myrcene:major|limonene:major|caryophyllene:major,,,,,,,,,,,,,,,,,,
4c-labs-ctr-25-1-flower,Citroli,4C Labs,,flower,,,25,1,myrcene:major|limonene:minor|caryophyllene:minor,,,,,,,,,,,,,,,,,,
mystery-mountain-coco-bamba-26-1-flower,Coco Bamba,Mystery Mountain,,Indica Hybrid,flower,,26,1,,,,,,,,,,,,,,,,,,,
cake-caviar-organic-cfc-27-1-flower,Coffee Cake,Habitat,,flower,,,27,1,alpha-pinene:7.4%|limonene:44.1%|linalool:14.8%,,,,,,,,,,,,,,,,,,
4c-labs-cck-smalls-25-1-flower,Cold Creek Kush,AgMedica,,flower,,,25,1,alpha-pinene:minor|myrcene:major|limonene:minor,,,,,,,,,,,,,,,,,,
medcan-cold-creek-kush-25-1-flower,Cold Creek Kush,Medcan,,flower,flower,indica,25,1,,,,,,,,,,,,,,,,,,,
superseed-congo-creek-haze-30-1-flower,Congo Creek Haze,Superseed,,Sativa Hybrid,flower,,30,1,,,,,,,,,,,,,,,,,,,
aurora-medical-cookie-stash-og-flower,Cookie Stash OG,Aurora Medical,,indica,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-cookie-stash-og,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/seasonal-stash-cookie-stash-og,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
tofino-ripper-cks-chm-28-1-flower,Cookies & Chem,Canadian Craft Cannabis Co.,,flower,,,28,1,myrcene:10.3%|limonene:28.94%|linalool:12.09%,,,,,,,,,,,,,,,,,,
mamedica-cg-27-1-flower,Cookies Gelato,Avant,,flower,,,27,1,,,,,,,,,,,,,,,,,,,
aurora-pedanios-cos-31-1-flower,Cosmic Cream,Aurora,,flower,,,31,1,myrcene:6%|limonene:23%|caryophyllene:26%,,,,,,,,,,,,,,,,,,
aurora-medical-courage-flower,Courage,Aurora Medical,,hybrid,flower,,,,limonene:major|pinene:major|caryophyllene:major,91 Royale x Driftwood Diesel,Canada,,,Aurora says Courage is a very high-THC hybrid with rich gas dough and savoury garlic aromas.,Aurora Medical,https://www.auroramedical.com/products/courage,official manufacturer product page,2026-04-02T00:00:00.000Z,Added from Aurora's official public product feed.,Upgraded from Aurora's official public product page.,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/courage,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
safricanna-ck-22-1-flower,Creamy Kees #5,SafriCanna,,flower,,,22,1,alpha-pinene:1.63%|beta-pinene:4.09%|myrcene:29.42%,,,,,,,,,,,,,,,,,,
tilray-critical-haze-23-1-flower,Critical Haze,Tilray,,flower,flower,sativa,23,1,,,,,,,,,,,,,,,,,,,
dalgety-critical-kush-28-1-flower,Critical Kush,Dalgety,,flower,flower,indica,28,1,,,,,,,,,,,,,,,,,,,
together-pharma-critical-mass-20-1-flower,Critical Mass,Together Pharma,,flower,flower,indica,20,1,,,,,,,,,,,,,,,,,,,
upstate-cbw-26-1-flower,Crossbow,Upstate,,flower,,,26,1,,,,,,,,,,,,,,,,,,,
upstate-crossbow-26-1-flower,Crossbow,Upstate,,flower,flower,,26,1,,,,,,,,,,,,,,,,,,,
4c-labs-value-crl-29-1-flower,Crumble Lime Ten,4C Labs,,flower,,,29,1,,,,,,,,,,,,,,,,,,,
lumir-cblt-23-1-flower,Crumble Lime Ten,Lumir,,flower,,,23,1,,,,,,,,,,,,,,,,,,,
kootenay-cc-25-1-flower,Crystal Caviar,Kootenay Quantum,,flower,,,25,1,alpha-pinene:minor|beta-pinene:minor|limonene:major,,,,,,,,,,,,,,,,,,
aurora-medical-daily-special-indica-flower,Daily Special Indica,Aurora Medical,,indica,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/indica-flower,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/indica-flower,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
safricanna-dw-20-1-flower,Dank Wafers,SafriCanna,,flower,,,20,1,alpha-pinene:2.95%|beta-pinene:3.67%|limonene:17.71%,,,,,,,,,,,,,,,,,,
cannda-craft-di-28-1-flower,Dante's Inferno #8,Apigen,,flower,,,28,1,alpha-pinene:3.7%|beta-pinene:3.5%|myrcene:17.6%,,,,,,,,,,,,,,,,,,
4c-labs-dzi-32-1-flower,Dante'z Inferno,4C Labs,,flower,,,32,1,,,,,,,,,,,,,,,,,,,
4c-labs-core-dgz-25-1-flower,Dawgzilla,4C Labs,,flower,,,25,1,,,,,,,,,,,,,,,,,,,
4c-labs-db-26-1-flower,Death Bubba,4C Labs,,flower,,,26,1,alpha-pinene:minor|beta-pinene:minor|myrcene:major,,,,,,,,,,,,discontinued,high,2026-04-03T16:38:43.858Z,Legacy catalogue audit,,"Marked discontinued during legacy catalogue cleanup because the product appeared on the discontinued audit list, but it was retained because community reviews still exist.",legacy-discontinued-audit-list|reviewed-product-retained
aurora-pedanios-delahaze-22-1-flower,Delahaze,Aurora Pedanios,,sativa,flower,sativa,22,1,terpinolene:major|myrcene:major|alpha-pinene:major,Mango Haze x California Lemon Skunk,Canada,,,Official Aurora page presents Delahaze as the Luminarium cultivar with a mango citrus pine profile and high-THC sativa positioning.,Aurora Medical,https://www.auroramedical.com/products/luminarium,official manufacturer page,2026-04-01T00:00:00.000Z,,Imported from the official Aurora Medical Luminarium (Delahaze) product page.,discontinued,high,2026-04-03T16:22:55.199Z,Legacy catalogue audit,https://www.auroramedical.com/products/luminarium,"Marked discontinued during legacy catalogue cleanup because the product appeared on the discontinued audit list, but it was retained because community reviews still exist.",legacy-discontinued-audit-list|reviewed-product-retained
4clabs-donkey-butter-31-1-flower,Donkey Butter,4C Labs,,flower,flower,hybrid,31,1,,,,,,,,,,,,,,,,,,,
pure-sunfarms-dbg-21-1-flower,Donny Burger,Pure Sunfarms,,indica,flower,,21,1,Myrcene:37.1%|Linalool:18%|Limonene:17%|Carene:11.7%,GMO x Han Solo Burger,Canada,,,"Official 4C Labs page describes this as a savoury, pungent, gassy indica cultivar produced by Pure Sunfarms in British Columbia, Canada.",4C Labs,https://4clabs.co/products/donny-burger/,official distributor product page,2026-04-02T00:00:00.000Z,https://4clabs.co/products/donny-burger/,Upgraded Donny Burger to percentage terpene data with official supporting facts from the public 4C Labs page.,unknown,Updated terpene percentages and supporting facts from 4C Labs public product page,,,,,
qwest-duct-tape-flower,Duct Tape,Decibel,,hybrid,flower,,28,,Limonene:major|Caryophyllene:major|Myrcene:major,GG#4 x Do Si Dos,,,,Official Qwest page describes a hybrid with earthy gas,citrus,pepper aroma and a nutty spice finish.,Qwest Cannabis,,official grower page,2026-04-02T00:00:00.000Z,unknown,Added as a new official-source Qwest flower from the public producer product page.,,high,2026-04-02T00:00:00.000Z,Qwest Cannabis,https://qwestcannabis.com/products/duct-tape
4c-labs-dbk-26-1-flower,Durban Kush,4C Labs,,flower,,,26,1,,,,,,,,,,,,,,,,,,,
aurora-pedanios-durban-poison-22-1-flower,Durban Poison,Aurora Pedanios,,flower,flower,sativa,22,1,,,,,,,,,,,,,,,,,,,
ecs-t18-18-1-flower,Durban Sky,MG Health,,flower,,,18,1,alpha-pinene:4.66%|beta-pinene:6.49%|myrcene:8.79%,,,,,,,,,,,,,,,,,,
ecocann-elc-19-1-flower,El Chivo,EcoCann,,flower,,,19,1,myrcene:major|caryophyllene:major|linalool:major,,,,,,,,,,,,,,,,,,
antg-rocky-26-1-flower,El Jefe,ANTG,,flower,,,26,1,myrcene:major|limonene:major|caryophyllene:minor,,,,,,,,,,,,,,,,,,
aurora-pedanios-electric-honeydew-29-1-flower,Electric Honeydew,Aurora Medical,,hybrid,flower,sativa,,,,Girl Scout Cookies x 91 OG Krypt Melon,Canada,,,Aurora describes Electric Honeydew as a high-THC hybrid with lively melon gas and pine notes and dense dark-green buds with bright orange pistils.,Aurora Medical,https://www.auroramedical.com/products/new-electric-honeydew,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/new-electric-honeydew,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
tofino-ripper-electric-lemon-21-1-flower,Electric Lemon,Tofino Ripper,,Indica Hybrid,flower,,21,1,,,,,,,,,,,,,,,,,,,
good-supply-ec-27-1-flower,Emergen-C,Good Supply,,flower,,,27,1,,,,,,,,,,,,,,,,,,,
aurora-medical-esprit-de-corps-flower,Esprit De Corps,Aurora Medical,,sativa,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/esprit-de-corps,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/esprit-de-corps,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
